Date,Active_Cases,Close
14-08-2020,661595,11178.4
17-08-2020,676900,11247.1
18-08-2020,673166,11385.35
19-08-2020,676514,11408.4
20-08-2020,686395,11312.2
21-08-2020,692028,11371.6
24-08-2020,710771,11466.45
25-08-2020,704348,11472.25
26-08-2020,707267,11549.6
27-08-2020,725991,11559.25
28-08-2020,742023,11647.6
31-08-2020,781975,11387.5
01-09-2020,785996,11470.25
02-09-2020,801282,11535
03-09-2020,815538,11527.45
04-09-2020,831124,11333.85
07-09-2020,882542,11355.05
08-09-2020,883697,11317.35
09-09-2020,897394,11278
10-09-2020,919018,11449.25
11-09-2020,943480,11464.45
14-09-2020,986598,11440.05
15-09-2020,990061,11521.8
16-09-2020,995933,11604.55
17-09-2020,1009976,11516.1
18-09-2020,1017754,11504.95
21-09-2020,1003299,11250.55
22-09-2020,975861,11153.65
23-09-2020,968377,11131.85
24-09-2020,966382,10805.55
25-09-2020,970116,11050.25
28-09-2020,962640,11227.55
29-09-2020,947576,11222.4
30-09-2020,940441,11247.55
01-10-2020,940705,11416.95
05-10-2020,934427,11503.35
06-10-2020,919023,11662.4
07-10-2020,907883,11738.85
08-10-2020,902425,11834.6
09-10-2020,893592,11914.2
12-10-2020,861853,11930.95
13-10-2020,838729,11934.5
14-10-2020,826876,11971.05
15-10-2020,812390,11680.35
16-10-2020,804528,11762.45
19-10-2020,772055,11873.05
20-10-2020,748538,11896.8
21-10-2020,740090,11937.65
22-10-2020,715812,11896.45
23-10-2020,695509,11930.35
26-10-2020,653717,11767.75
27-10-2020,625857,11889.4
28-10-2020,610803,11729.6
29-10-2020,603687,11670.8
30-10-2020,594386,11642.4
02-11-2020,561908,11669.15
03-11-2020,541405,11813.5
04-11-2020,533787,11908.5
05-11-2020,527962,12120.3
06-11-2020,520773,12263.55
09-11-2020,509673,12461.05
10-11-2020,501214,12631.1
11-11-2020,494657,12749.15
12-11-2020,489294,12690.8
13-11-2020,484547,12719.95
14-11-2020,480719,12780.25
